t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
50000.0,-10.656750210904615,1401113362.5354452,3169095990335381.5,15590126.142882047,13300511.238580676,2.9171676128216256e+17,563.1556767535286,543797.2564029447,2.9488585727249837e+17,53256993149.46947,-10056112.302416464
105000.0,-240.44427865362388,1187794449.4748094,3905704560216475.0,375157512.92314035,330662094.0072129,5.005278749164839e+17,13559.871761130606,13675030.84290803,5.0443357947670317e+17,1026083898110.397,-201592530.1134444
165500.0,-1939.330294034819,1087193163.5260386,4316639412182889.0,3270536644.2939353,3019609641.005141,6.947008334235252e+17,118336.16407655986,126482262.82574514,6.990174728357087e+17,8071050765947.726,-1383519110.6945167
232050.0,-9017.847785084412,1026237949.5112569,4607582819265169.0,16699944405.981703,16167056818.955984,8.867623319280831e+17,604949.582294311,685947487.7827286,8.913699147473638e+17,38705020109339.6,-5379832559.91765
305255.0,-29247.08883177208,984970978.0872041,4836906829979122.0,60389018673.38411,61137975552.87083,1.081985777196266e+18,2190219.2963628112,2626821185.7245536,1.0868226840262835e+18,134097040070745.45,-14200267817.75275
385780.50000000006,-73361.21256379696,954896499.7988341,5028932966225815.0,171207971712.817,180517301731.28064,1.2834363391676943e+18,6217121.8149208315,7850622579.772353,1.2884652721340413e+18,368787645122347.7,-27711959882.3601
474358.5500000001,-151906.1207339046,931641168.4837343,5196061494842225.0,405305463844.5253,442964514342.05994,1.4932649888601846e+18,14736353.44206744,19489350028.916656,1.4984610503553308e+18,854283828719919.1,-41300097499.32599
571794.4050000001,-271586.717570614,912684227.1773541,5345459191968536.0,835884040410.2128,942413061433.1833,1.7131867058846994e+18,30429892.343222648,41926206837.193535,1.7185321650772595e+18,1735248262477570.8,-45622976995.79603
678973.8455000003,-433150.9388766606,896471354.5185244,5481641093342528.0,1547596043718.34,1791759620021.7817,1.9447030038453315e+18,56410852.81485425,80560517419.29855,1.9501846449397412e+18,3180268251543773.0,-29370513965.8529
796871.2300500004,-631590.8487515757,882019038.0454733,5607639786248262.0,2629568861179.267,3113352116008.0947,2.1892239243005857e+18,95971862.59522295,141406420912.21362,2.1948315640885816e+18,5370542502955591.0,15832783990.26259
926558.3530550005,-858054.3414126039,868710770.4235095,5725599036593194.0,4168923356654.401,5029162710374.138,2.448142556769953e+18,152349624.4412634,230651884563.17493,2.4538681558093844e+18,8489379805750645.0,90233211030.87244
1069214.1883605006,-1102301.232514188,856174783.2257056,5837102421045924.0,6245899504276.686,7652809768018.094,2.7228832807514455e+18,228546559.9077682,354281160308.033,2.7287203831766016e+18,1.2714173739755632e+16,182201580779.22806
1226135.6071965508,-1354762.2571601146,844201674.8977005,5943367887837201.0,8930923671167.621,11084404882744.736,3.0149335250128497e+18,327222268.9093483,517814072780.55383,3.0208768929064033e+18,1.8211343118320724e+16,266904813045.42322
1398749.1679162062,-1607796.3791212025,832685452.2003785,6045368818330198.0,12283424985390.55,15408200541530.688,3.3258642458161203e+18,450648323.3729851,726169641818.8557,3.3319096146420577e+18,2.513396498556472e+16,307511547799.8564
1588624.0847078268,-1856155.390841431,821580596.8069793,6143911721946018.0,16351964887050.086,20692451128436.094,3.6573422301960054e+18,600710913.0503927,983633279105.3088,3.6634861419282053e+18,3.3621479689581908e+16,258444749095.89038
1797486.4931786098,-2096892.2582525327,810871211.2758731,6239686575359113.0,21175200186944.78,26990723100510.266,4.01113626561482e+18,778944111.425343,1293895749682.6052,4.0173759522037146e+18,4.380078054041224e+16,69908129950.00899
2027235.1424964708,-2328958.4501036652,800549790.5224563,6333298974587934.0,26783258810437.234,34343948930674.406,4.3891186415186473e+18,986578548.0536044,1660132543779.2788,4.395451940509767e+18,5.578807409736095e+16,-307120270832.20447
2279958.6567461183,-2552694.887901761,790603875.6013051,6425289849971483.0,33199200134464.55,42782671359839.39,4.793263125556848e+18,1224593564.4128768,2085097889110.784,4.799688415426491e+18,6.969101721310692e+16,-916114513735.8694
2557954.5224207304,-2769336.287276039,781009128.6339757,6516146698873502.0,40440323631431.555,52329087209083.59,5.225640359221805e+18,1493764217.580878,2571214416071.3477,5.2321565059415e+18,8.561075721520253e+16,-1790949475182.683
2863749.9746628036,-2980590.082870446,771727400.7857057,6606309235931615.0,48519169269023.99,62998642019328.055,5.688411467599326e+18,1794697363.417512,3120645764542.938,5.695017776859786e+18,1.0364360772412986e+17,-2952858728146.416
3200124.972129084,-3188310.503401855,762708312.4197197,6696171621215579.0,57444120604569.195,74801040373519.98,6.183820536389628e+18,2127853483.2217693,3735344578916.8213,6.190516708039386e+18,1.2388218550994973e+17,-4408496596293.667
3570137.469341993,-3394264.3847302343,753892869.5196582,6786082823787961.0,67219579493440.11,87740628407011.7,6.714186467945027e+18,2493553011.418214,4417072578982.955,6.720972550802616e+18,1.4641591764832096e+17,-6149032424102.67
3977151.2162761926,-3599977.645595173,745217783.9402907,6876346161248332.0,77845731547943.05,101816180105350.44,7.281894600471507e+18,2891967741.865954,5167392936189.665,7.288770946672464e+18,1.7133090466442925e+17,-8150090356464.788
4424866.3379038125,-3806648.8000285504,736619450.0580517,6967218630810417.0,89317962395588.42,117020176313308.22,7.889388384449909e+18,3323099378.5217295,5987637912347.518,7.896355603126879e+18,1.9870919239485526e+17,-10372287259019.33
4917352.971694194,-4015106.214186879,728036906.0356834,7058910333134850.0,101626015548659.58,133337708720440.3,8.53916137942109e+18,3786748426.367101,6878856901738.158,8.546220289807446e+18,2.2862755968034026e+17,-12762131792684.748
5459088.268863614,-4225800.2677186,719413496.9756804,7151584095258945.0,114753001280567.7,150745164245265.6,9.233749873194764e+18,4282477311.156068,7841751237896.566,9.240901457350756e+18,2.61155968143369e+17,-15253095296559.562
6054997.095749975,-4438815.633980185,710697294.912646,7245355313828883.0,128674373429025.52,169208854541757.7,9.975726529008873e+18,4809571914.235136,8876602782114.06,9.982971884391406e+18,2.96355844651642e+17,-17766769618382.207
6710496.805324974,-4653895.551687073,701840571.630269,7340292038889767.0,143356989348912.75,188683750882358.0,1.0767695615065244e+19,5367005674.622047,9983203322947.176,1.0775035907181646e+19,3.342783788424881e+17,-20214141167997.887
7431546.485857472,-4870472.4425884895,692798747.6296251,7436415367531279.0,158758360147982.0,209112471818806.62,1.1612290535806953e+19,5953410147.226128,11160791460174.094,1.1619726951261135e+19,3.749630207747498e+17,-22497123237775.496
8224701.13444322,-5087701.943629455,683529258.0642835,7533700281633533.0,174826186319022.22,230424653061784.53,1.2512174532321825e+19,6567055502.74677,12408003073729.76,1.2519708232699775e+19,4.18436359789026e+17,-24510576132978.207
9097171.247887542,-5304499.34392805,673990704.6952181,7632077117245559.0,191498259209891.47,252536807914099.53,1.3470045518701607e+19,7205843957.851553,13722840788936.123,1.347767759592557e+19,4.647115554319026e+17,-26145092636303.637
10056888.372676298,-5519578.539102209,664142532.9988148,7731433876829235.0,208702791411975.3,275352762371813.94,1.4488646045288282e+19,7867318531.863736,15102667049271.447,1.4496377479282633e+19,5.1378847317377856e+17,-27290827437204.742
