t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
50000.0,-129.16632145275653,1401113362.5338745,3169095990335325.0,15404234.083838115,9666797.970695326,2.917167612803725e+17,556.111061817599,353783.43652651994,2.948858572707081e+17,53255598722.39896,-13879095.405575756
105000.0,-3194.121830367753,1187794449.4760365,3905704560214702.0,370123195.9771495,234977311.10152385,5.0052787486075206e+17,13368.766644126687,8654189.875646727,5.044335794209694e+17,1026042584080.5746,-302275788.885769
165500.0,-28939.841373716816,1087193163.5266728,4316639412161656.5,3220069885.232168,2088961701.4856699,6.947008327645331e+17,116416.72500636418,77451278.10423675,6.990174721766956e+17,8070589813964.931,-2362944671.545742
232050.0,-153341.33308998417,1026237949.5112641,4607582819114611.0,16404941440.349163,10878773090.366892,8.867623273303919e+17,593706.374211891,406018573.8449875,8.913699101495218e+17,38701997252059.09,-10946359184.233553
305255.0,-572800.0468368259,984970978.0902042,4836906829223606.0,59181981450.4456,40041666810.64162,1.0819857545876562e+18,2144117.1887031794,1504061924.5862207,1.0868226614169216e+18,134083100635148.44,-36411467120.31869
385780.50000000006,-1668753.1848044936,954896499.7977014,5028932963269462.0,167390372730.13394,115254213634.83202,1.2834362528814912e+18,6070985.967881892,4356180520.230563,1.2884651858449016e+18,368737829517489.7,-96441073332.82863
474358.5500000001,-4038841.3503288846,931641168.48942,5196061485250141.0,395369174343.6499,276300076290.01117,1.4932647173259569e+18,14355131.901639666,10506021266.53127,1.4984607788115325e+18,854137165446290.6,-216863452182.21814
571794.4050000001,-8476785.245572532,912684227.1824193,5345459165050179.0,813664882706.5409,575704158232.3293,1.7131859715243128e+18,29575457.163113702,22018632250.883152,1.7185314306900193e+18,1734877318488729.0,-432024402688.486
678973.8455000003,-15908803.774212457,896471354.5495613,5481641025976507.0,1503551991705.4592,1074722063983.6373,1.9447012451189844e+18,54713231.25077129,41339229667.30882,1.9501828861461532e+18,3179437429625372.0,-785144888755.7521
796871.2300500004,-27310265.59401007,882019038.1894375,5607639632447068.0,2550331863100.1123,1838169455160.1108,2.1892201097285276e+18,92910739.29645821,71102546307.33696,2.1948277493629233e+18,5368856608772948.0,-1328666236612.2234
926558.3530550005,-43626676.06242168,868710770.9622756,5725598710749014.0,4037179950802.7324,2929542222982.782,2.448134933172074e+18,147248420.1316924,113947947741.05539,2.4538605318858957e+18,8486225377030422.0,-2124237190641.2854
1069214.1883605006,-65714130.30980932,856174784.9242301,5837101772214671.0,6040565445920.95,4407320422334.929,2.722869049977095e+18,220577927.23636013,172375693361.24277,2.728706151753737e+18,1.2708655661648758e+16,-3241942029762.658
1226135.6071965508,-94304059.64706282,844201679.769418,5943366661979456.0,8627524647846.995,6322737288838.673,3.0149084446677504e+18,315421741.84460855,248656818703.45645,3.0208518113357783e+18,1.820221838476029e+16,-4758535192279.937
