t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
50000.0,-10.655030767320167,-13757545670677.693,2861606651555857.5,15587596.51751744,13298367.0434704,2.5692937318356077e+17,563.0642281025703,543709.2673660731,2.5979097983511638e+17,53248752530.85961,-10054322.834477702
105000.0,-240.39266083875788,-13970322907847.992,3456911821118703.0,375076803.5710953,330591535.0650011,4.320291324713555e+17,13556.946641136557,13672086.283905108,4.3548604429247456e+17,1025860656841.9977,-201545494.14132163
165500.0,-1938.7602172030945,-14054090107555.36,3773005807909188.0,3269581406.959065,3018739923.1327076,5.916204126821274e+17,118301.46833209663,126445396.90647607,5.953934184900376e+17,8068605692986.113,-1383060824.332439
232050.0,-9014.207614789537,-14104346144754.283,3990235800267197.5,16693335048.143494,16160784941.196995,7.474573472790866e+17,604709.0195895752,685677570.7105094,7.514475830793645e+17,38688886682429.99,-5377192611.209116
305255.0,-29230.96038567793,-14139900851000.295,4157831920890878.0,60356950106.67471,61106316568.47663,9.043296391533213e+17,2189049.685156683,2625438343.1700916,9.084874710742621e+17,134021199634421.83,-14189412313.166773
385780.50000000006,-73306.489427422,-14167358169283.068,4295812902560898.5,171087598319.73862,180394026013.176,1.0649177615424273e+18,6212722.472695938,7845158928.564685,1.0692135744451172e+18,368508974220723.3,-27676457587.842354
474358.5500000001,-151754.7462789584,-14189743517237.625,4414210932858435.5,404933769886.1203,442570967172.83777,1.2310238268172526e+18,14722740.632608922,19471655746.733543,1.235438037750402e+18,853435074215151.1,-41200858697.1255
571794.4050000001,-271230.2252117179,-14208676707309.176,4518748675952171.0,834899530743.1454,941339175372.9326,1.4040225800622856e+18,30393759.545926347,41877235622.86222,1.4085413287388147e+18,1733017630388665.5,-45373781360.46821
678973.8455000003,-432413.2287321872,-14225119219151.324,4612994421488769.0,1545290768790.9485,1789178110426.4998,1.5850697887953487e+18,56326063.51916634,80441135932.03697,1.5896827832179054e+18,3175060844722406.0,-28790355217.14461
796871.2300500004,-630216.9801899536,-14239685335185.484,4699325811224453.0,2624688162296.82,3107759549274.413,1.7752156526987295e+18,95791952.14621517,141144175908.1882,1.7799149785117391e+18,5359507315103932.0,17106052295.817238
926558.3530550005,-855708.1903666757,-14252789805015.297,4779414339873650.0,4159416865905.081,5018050357007.267,1.975473331386355e+18,151998410.80577904,230123555464.69992,1.9802527457288655e+18,8467795771768917.0,92884198595.93782
1069214.1883605006,-1098571.418521517,-14264724986079.56,4854491601161185.0,6228631679473.372,7632275085926.079,2.1868624603733622e+18,227907138.70165735,353291299671.42444,2.191716951978555e+18,1.267469680011867e+16,187444017953.5802
1226135.6071965508,-1349177.0483501335,-14275704233129.164,4925506020414024.0,8901354664958.87,11048719027954.086,2.4104367932505784e+18,326124764.3938853,516069979131.95465,2.4153622992766126e+18,1.814312191659488e+16,276751688389.61945
1398749.1679162062,-1599840.1692337827,-14285887790100.2,4993219841993338.0,12235273070459.52,15349348896716.674,2.647300818018828e+18,448856788.24970067,723253343417.3978,2.6522940378684324e+18,2.502163540354169e+16,325089285274.6793
1588624.0847078268,-1845287.3617601614,-14295399012639.066,5058270862924361.0,16276860450416.04,20599662069140.797,2.8986182496871854e+18,597909731.1852859,978971071642.9841,2.903676520559635e+18,3.344404842537372e+16,288313540293.90314
