t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
864.0,-307024599312938.2,-7210079890566609.0,-2099395069988.7927,7.330080952396811e+18,1.0127957289577197e+18,5.047416383227692e+17,1.411206202959875e+20,14775030948678.256,413912503332031.06,1.484507012483846e+20,1.0128105039886671e+18,5.0515555082610195e+17
1584.0,-435007565393577.94,-7316673988497388.0,-1945647512081.012,7.057679564334962e+18,9.997368052214355e+17,6.240773945039926e+17,1.356993369898855e+20,14656431594097.414,522456888795154.6,1.4275701655422275e+20,9.997514616530317e+17,6.245998513927882e+17
2448.0,-453836740264530.5,-7130181525559187.0,-1790779305627.1646,6.614030136106374e+18,9.222762860518915e+17,6.212518219409932e+17,1.2966153918588304e+20,13576056969123.793,530150020179531.25,1.3627556932198972e+20,9.222898621088625e+17,6.217819719611739e+17
3484.8,-422573449506172.8,-6588609523268218.0,-1666049806196.2974,6.057633425433435e+18,8.358556456427068e+17,5.7613582687011744e+17,1.2306969240811979e+20,12353008549599.576,500658210570824.4,1.2912732583355212e+20,8.358679986512573e+17,5.766364850806892e+17
4728.96,-376486921107279.7,-5855439443461155.0,-1583284576086.3801,5.443597414226944e+18,7.485264350970044e+17,5.1940161397310195e+17,1.1606286217896962e+20,11108938271770.072,459740431237680.25,1.2150645959319716e+20,7.485375440352763e+17,5.198613544043408e+17
6221.951999999999,-327967006112380.5,-5053933815173173.0,-1537373050684.638,4.813299982366967e+18,6.61879475421611e+17,4.605003523072147e+17,1.087915402310863e+20,9868434551273.926,415701771476565.1,1.1360484021345416e+20,6.618893438561626e+17,4.609160540786916e+17
8013.542399999998,-280619496508078.4,-4260369372638827.0,-1512480777289.0005,4.195441911796881e+18,5.770442551561061e+17,4.02346664033277e+17,1.0140429388160578e+20,8648216036660.05,371180077348763.4,1.0559973579340417e+20,5.770529033721434e+17,4.0271784411062566e+17
10163.450879999999,-235821400199158.62,-3518164569460768.5,-1488912781389.9329,3.609306204256883e+18,4.9553774277157536e+17,3.464032794295954e+17,9.4044370011565e+19,7470338152126.963,327456187902211.4,9.765367621582207e+19,4.9554521310972864e+17,3.46730735617498e+17
12743.341055999997,-194529294564564.53,-2850579645634941.0,-1449245486187.2366,3.067569467459938e+18,4.190727639794674e+17,2.939019141038422e+17,8.684618780560051e+19,6359815865502.402,285577937023997.4,8.991375727306152e+19,4.1907912379533434e+17,2.941874920408671e+17
15839.209267199996,-157522273834603.8,-2268658378650734.0,-1382375131717.2622,2.5781282900694543e+18,3.4921911687427795e+17,2.4592240580122752e+17,7.992967136361133e+19,5339860286115.955,246486152430043.72,8.250779965368e+19,3.492244567345637e+17,2.4616889195365808e+17
19554.251120639994,-125324024290051.7,-1775524218147470.0,-1284956572431.2815,2.1451314211925317e+18,2.8714115870032352e+17,2.032628955047404e+17,7.339342483998016e+19,4428088133061.897,210928350495719.7,7.553855626117264e+19,2.8714558678845725e+17,2.034738238552367e+17
24012.30134476799,-98134267512810.16,-1368681737051805.0,-1160589499407.515,1.7695747086461404e+18,2.3345387084907987e+17,1.6634424140791843e+17,6.730878438154857e+19,3634372399457.778,179378859949697.88,6.907835909019511e+19,2.3345750522147942e+17,1.6652362026786813e+17
