t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-18883462619.367794,-62262929070.406845,1160907645964137.2,779960802154053.0,642192515286848.4,1.5644783528909213e+20,32709583911.60949,23382961455669.24,1.5644899619673712e+20,779993511737966.4,665575476742517.6
857945.088,-10079867830.67535,-36405833955.58702,1159706819640025.2,684176490616679.4,438006796853668.7,1.5643789931346048e+20,28692632080.813988,15948338499799.164,1.564390590202825e+20,684205183248761.1,453955135353469.06
1115934.1056,-9150715945.164118,-27191229921.00312,1158496933851011.5,645045356500188.0,405071740163690.0,1.564284616975458e+20,27051571260.571293,14749136713538.396,1.5642962019448114e+20,645072408071450.4,419820876877229.1
1425520.9267199999,-8704196031.666666,-22174817403.422943,1157240603903690.8,615390009745348.1,385820806095096.9,1.5641884566800666e+20,25807901002.265892,14048188915072.107,1.5642000290861357e+20,615415817646351.2,399868995010168.94
1797025.1120639998,-8334987988.927308,-18891558103.91315,1155917637493401.2,589734876846662.1,369566085292602.8,1.564086745848243e+20,24731989598.31659,13456336477985.389,1.5640983050246036e+20,589759608836260.5,383022421770588.44
2242830.1344767995,-8002033647.657573,-16519135432.38242,1154514634958989.8,566425954057136.2,354862223826043.75,1.563976808914988e+20,23754472313.80421,12920952482114.656,1.5639883540613467e+20,566449708529450.0,367783176308158.7
2777796.161372159,-7691924216.519573,-14698993425.779219,1153021583787088.2,544639045243010.3,341148072921814.25,1.5638563118135263e+20,22840784446.898174,12421604889791.64,1.563867842029346e+20,544661886027457.8,353569677811606.94
3419755.393646591,-7397533944.44897,-13247068241.777733,1151430604444869.0,523909614259952.8,328117542920097.56,1.5637229473461715e+20,21971444526.30644,11947148643178.404,1.5637344616522344e+20,523931585704479.56,340064691563275.94
4190106.472375909,-7114624723.014567,-12058008350.971214,1149735440075831.0,503957345450730.0,315587524802509.44,1.5635742683775114e+20,21134696822.15584,11490916543402.459,1.5635857657319044e+20,503978480147551.7,327078441345911.8
