t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816564.9641212411,-3019405.809204041,23816487935.484894,1648578599234380.0,292909245177804.7,1.5623840701749605e+20,317588587506.86566,3623981510652604.0,1.562384070413133e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797203.1490238048,-3013121.7400950054,23816466003.058067,1209407435033074.5,302713270605030.0,1.5623686551681915e+20,232984948867.77878,3745073999769276.5,1.562368655406357e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780329.1056349551,-3007568.86707809,23816518976.719948,903779288658016.1,307668205339110.5,1.5623707472993223e+20,174107555381.89212,3806303627628003.0,1.562370747537485e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-764991.2721984107,-3002488.564439572,23816560985.247494,687259611018336.5,309215251331590.3,1.562372507205306e+20,132396363279.22656,3825475973054695.0,1.5623725074434746e+20,687392007381616.6,4134691224386300.5
642954.24,-4459415074.045438,-511982138.01453716,-3318368119.7192836,6691569610659.311,443201547407529.8,1350699696648432.8,1.5623770048398538e+20,38502168483.52666,795983897912282.0,1.5623770717555746e+20,443240049576015.0,2146683594560717.2
857945.088,-2127085356.7332287,-433148032.7453609,-3281424857.196922,6691557067368.788,201418784104963.12,737852604928696.5,1.5623738168046397e+20,17497817902.37085,434842508414698.4,1.5623738837202184e+20,201436281922866.56,1172695113343394.5
1115934.1056,-1061246597.6397778,-389423489.1968927,-3255867601.020425,6691511127530.221,95251856996216.23,372372733353495.4,1.562365409777432e+20,8274797491.181751,219457605006409.72,1.562365476692533e+20,95260131793707.42,591830338359905.2
1425520.9267199999,-490624351.9564625,-357789340.27409214,-3233385660.7742515,6691439231285.762,44700098675588.164,171807719416342.56,1.562352844420911e+20,3883223656.9689674,101256072411033.58,1.562352911335303e+20,44703981899245.125,273063791827376.44
1797025.1120639998,-205784546.0766474,-332182515.53775626,-3211595991.6377153,6691344174605.074,20950300259116.266,72534293264355.5,1.562336500840163e+20,1820011677.9463527,42748858678919.38,1.5623365677535966e+20,20952120270794.25,115283151943274.88
2242830.1344767995,-78866229.36706927,-310156785.5570543,-3189371569.040649,6691226257431.278,10627042828883.338,28599059773430.582,1.5623163850709736e+20,923201186.244791,16855206511409.746,1.5623164519832394e+20,10627966030069.602,45454266284840.445
2777796.161372159,-28853245.5911988,-290494090.9393826,-3165992610.2839994,6691083889850.876,6595299535590.635,11340928065826.633,1.5622922140098475e+20,572952274.0265039,6683921934579.43,1.5622922809206968e+20,6595872487864.676,18024850000406.086
3419755.393646591,-11516602.744507961,-272509106.45183533,-3140896860.0706444,6690913936912.443,5199829754085.133,5365453263891.879,1.562263465152995e+20,451723877.90570694,3162200019281.044,1.5622635320621266e+20,5200281477963.05,8527653283172.926
4190106.472375909,-6257513.22310428,-255785958.46482697,-3113584273.337437,6690711997406.072,4773646635799.563,3552607487578.4507,1.5622294184159432e+20,414700148.2853043,2093775855535.3445,1.562229485323052e+20,4774061335947.862,5646383343113.786
