t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,875987.7386392681,-816937.5089536397,-57.23485619962939,23848975063.27132,1648578758076011.8,302723787398094.06,1.5646048603623516e+20,317588618106.734,3745421867361499.0,1.564604860600854e+20,1648896346694117.5,4048145654759592.5
190080.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
314496.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
463795.19999999995,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
642954.24,-615508529.1914194,-236028871988.9697,-324147933.7876275,7068252430958194.0,3885698458431660.0,4829115514659867.0,1.564068025110626e+20,126169070920.96483,66114063039771.09,1.5641387076349306e+20,3885824627502583.5,4895229577699648.0
857945.088,-151609379.36852163,-132553542597.11008,-321429913.82267255,7037712296385017.0,3405797526421064.0,4336531315772245.0,1.5637916849413266e+20,110586633146.56398,59370273920938.2,1.563862062064306e+20,3405908113054220.5,4395901589693184.5
1115934.1056,-125630380.68471684,-102828051491.0313,-323294893.38018006,7011334289065700.0,3080542431568061.0,3917410806338981.5,1.563533399286224e+20,100025563258.56662,53632238553708.75,1.563603512629128e+20,3080642457131335.5,3971043044892690.0
1425520.9267199999,-121890806.60399553,-88047820101.60583,-326958985.32567173,6987122507952528.0,2834559741640772.0,3598822917179259.5,1.5632661334354418e+20,92038477359.94917,49270556556340.62,1.5633360046605196e+20,2834651780118142.5,3648093473735601.5
1797025.1120639998,-113104151.1640175,-79208760401.13007,-331480522.554357,6964219926675906.0,2632185852368786.5,3338763148675167.5,1.5629762001527928e+20,85467374170.80934,45710161105960.16,1.5630458423520762e+20,2632271319742954.5,3384473309781120.5
2242830.1344767995,-102680739.1924552,-73598655312.73996,-336161898.66673356,6942170556323544.0,2457322171239289.5,3115151824804618.5,1.5626517931992075e+20,79789530564.1815,42648767712448.28,1.5627212149047594e+20,2457401960769860.0,3157800592517076.0
2777796.161372159,-92316096.86003256,-70156671460.79204,-340515973.6397066,6920696537001701.0,2301532368926814.5,2916517369472934.0,1.56227973719564e+20,74731017968.83504,39929323319489.46,1.5623489441610124e+20,2301607099944785.0,2956446692792426.0
3419755.393646591,-82579403.94306383,-68471812928.70942,-344228980.21372426,6899603537878915.0,2159881002893531.5,2736256208540864.0,1.5618431061204412e+20,70131582005.0896,37461420858625.33,1.5619121021558378e+20,2159951134475539.0,2773717629399490.0
4190106.472375909,-73644297.537129,-68513425232.99798,-347112929.32984215,6878726388715409.0,2029256703103959.5,2570248908527645.5,1.5613179888244988e+20,65890196134.56842,35188662708100.51,1.561386776088374e+20,2029322593300095.0,2605437571235748.0
